airline,origin,destination,departure_hour,distance,day,delay
Max Air,PHC,YOLA,22,510,12,0
Overland Airways,PHC,LOK,20,415,31,1
Ibom Air,BAK,BEN,0,985,5,1
Max Air,LOK,LOS,14,1035,27,0
Azman Air,LOS,ILR,0,1394,15,0
Dana Air,ILR,PHC,11,451,20,0
Max Air,ILR,ABV,10,1261,24,0
Overland Airways,BEN,BAK,15,427,16,1
Ibom Air,ILR,YOLA,3,1108,9,0
Green Africa,BAK,JOS,1,484,8,0
Overland Airways,YOLA,ABV,22,848,11,0
Overland Airways,BEN,KAN,2,565,27,0
Dana Air,PHC,ABV,3,1291,9,1
United Nigeria,JOS,ILR,17,1327,16,1
Ibom Air,KAN,BAK,11,1469,14,0
Air Peace,BAK,ABV,23,391,15,0
Overland Airways,PHC,BAK,0,843,30,0
United Nigeria,YOLA,ABV,2,1367,14,1
Air Peace,JOS,BEN,3,1106,24,1
Ibom Air,ILR,BEN,5,930,10,1
Arik Air,YOLA,LOK,16,225,13,0
Azman Air,BEN,LOS,7,1474,1,1
Aero Contractors,ABV,YOLA,15,814,30,1
Arik Air,ILR,ABV,20,392,9,0
Azman Air,ABV,KAN,5,580,17,1
Dana Air,ABV,BAK,23,1225,26,0
Max Air,PHC,YOLA,18,1268,17,1
Green Africa,PHC,LOK,20,1138,10,0
Aero Contractors,KAN,BAK,7,202,13,1
Dana Air,LOK,BEN,3,1129,18,1
Ibom Air,ILR,JOS,8,1358,13,0
Dana Air,ABV,YOLA,7,477,21,0
Max Air,KAN,BEN,20,375,29,0
Ibom Air,ILR,KAN,18,481,28,0
Aero Contractors,ABV,YOLA,0,1343,24,0
Max Air,BAK,YOLA,20,1397,13,0
Air Peace,LOS,YOLA,20,658,24,0
Green Africa,BAK,LOS,3,1150,10,0
Aero Contractors,JOS,YOLA,9,540,20,0
Air Peace,ILR,LOS,7,896,7,1
Azman Air,LOK,BEN,2,925,7,0
Aero Contractors,JOS,LOK,11,320,9,0
Azman Air,KAN,LOS,8,774,16,0
Ibom Air,KAN,LOS,2,475,15,0
Air Peace,ABV,YOLA,3,1168,25,0
Green Africa,JOS,LOK,5,1186,3,0
Max Air,ABV,YOLA,8,228,13,0
Overland Airways,ILR,BEN,1,884,31,0
Dana Air,KAN,YOLA,1,1467,11,0
Arik Air,LOS,PHC,17,520,8,0
Green Africa,KAN,ILR,20,842,21,1
Air Peace,PHC,BEN,21,551,31,1
Overland Airways,YOLA,ABV,2,731,21,1
Green Africa,LOK,BAK,2,1304,24,1
Air Peace,JOS,BAK,17,493,31,0
United Nigeria,ABV,LOK,5,657,6,1
United Nigeria,YOLA,PHC,0,946,10,0
Azman Air,YOLA,LOS,14,932,26,1
Green Africa,BAK,PHC,10,1283,17,0
United Nigeria,BEN,ILR,9,742,20,0
Air Peace,BAK,BEN,3,579,9,0
Azman Air,BAK,LOK,13,523,21,1
Air Peace,LOK,PHC,1,1285,14,1
Azman Air,PHC,KAN,12,1144,20,0
Green Africa,KAN,LOS,15,1369,27,1
Overland Airways,BAK,PHC,11,1042,13,0
Max Air,ILR,LOK,21,561,26,0
Overland Airways,PHC,ABV,18,601,25,0
Ibom Air,ABV,BEN,2,880,24,0
Ibom Air,KAN,ABV,19,1068,9,0
Overland Airways,JOS,YOLA,20,906,17,0
Azman Air,LOK,BAK,1,1306,15,1
Aero Contractors,YOLA,KAN,16,578,20,0
Aero Contractors,ABV,LOS,20,845,5,1
Aero Contractors,BAK,ILR,0,280,4,1
Max Air,ILR,BAK,18,930,25,0
Aero Contractors,ILR,LOK,7,713,15,0
Overland Airways,BEN,YOLA,10,1120,5,1
Arik Air,PHC,LOS,7,962,17,1
Overland Airways,ABV,ILR,16,693,30,0
Overland Airways,JOS,ILR,19,1459,7,1
Dana Air,YOLA,LOS,5,1140,6,0
